bbsname,cname,ename,sname,shortname
藍歌鴝,藍歌鴝,Siberian Blue Robin,Larvivora cyane,"SBRO,LACY"
藍喉鴝,藍喉鴝,Bluethroat,Luscinia svecica,"BLUE,LUSV"
台灣紫嘯鶇,台灣紫嘯鶇,Taiwan Whistling-Thrush,Myophonus insularis,"TWTH,TAWT,MYIN"
白斑紫嘯鶇,白斑紫嘯鶇,Blue Whistling-Thrush,Myophonus caeruleus,"BLWT,BWTH,MYCA"
白斑紫嘯鶇(黑嘴),白斑紫嘯鶇(黑嘴),Blue Whistling-Thrush (Black-billed),Myophonus caeruleus caeruleus,
紫嘯鶇屬,紫嘯鶇屬,whistling-thrush sp.,Myophonus sp.,
小剪尾,小剪尾,Little Forktail,Enicurus scouleri,"LIFO,ENSC"
野鴝,野鴝,Siberian Rubythroat,Calliope calliope,"SIRU,CACA"
白尾鴝,白尾鴝,White-tailed Robin,Myiomela leucura,"WTRO,MYLE"
藍尾鴝,藍尾鴝,Red-flanked Bluetail,Tarsiger cyanurus,"RFBL,TACY"
白眉林鴝,白眉林鴝,White-browed Bush-Robin,Tarsiger indicus,"WBBR,TAIN"
栗背林鴝,栗背林鴝,Collared Bush-Robin,Tarsiger johnstoniae,"COBR,CBRO,TAJO"
白眉/栗背林鴝,白眉/栗背林鴝,White-browed/Collared Bush-Robin,Tarsiger indicus/johnstoniae,"WBBR,CBRO,COBR,TAJO,TAIN"
白眉鶲,白眉鶲,Yellow-rumped Flycatcher,Ficedula zanthopygia,"KOFL,YRFL,FIZA"
綠背姬鶲,綠背姬鶲,Green-backed Flycatcher,Ficedula elisae,"GBFL,FIEL"
黃眉黃鶲,黃眉黃鶲,Narcissus Flycatcher,Ficedula narcissina,"NAFL,FINA"
白眉鶲/綠背姬鶲/黃眉黃鶲,白眉鶲/綠背姬鶲/黃眉黃鶲,Yellow-rumped/Green-backed/Narcissus Flycatcher,Ficedula zanthopygia/elisae/narcissina,
白眉黃鶲,白眉黃鶲,Mugimaki Flycatcher,Ficedula mugimaki,"MUFL,FIMU"
