bbsname,cname,ename,sname,shortname
冠鸊鷉,冠鸊鷉,Great Crested Grebe,Podiceps cristatus,"GCGR,POCR"
黑頸鸊鷉,黑頸鸊鷉,Eared Grebe,Podiceps nigricollis,"EAGR,BNGR,PONI"
鸊鷉屬(XX鸊鷉),鸊鷉屬,Podiceps sp.,Podiceps sp.,
鸊鷈科(XX鸊鷉),鸊鷈科,grebe sp.,Podicipedidae sp.,
野鴿(野化),野鴿(野化),Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),"ROPI,ROPI,FEPI,MANŪ,RODO,COLI"
灰林鴿,灰林鴿,Ashy Wood-Pigeon,Columba pulchricollis,"ASWP,AWPI,COPU"
黑林鴿,黑林鴿,Japanese Wood-Pigeon,Columba janthina,"JWPI,JAWP,COJA"
鴿屬(XX鴿),鴿屬,Columba sp.,Columba sp.,
金背鳩,金背鳩,Oriental Turtle-Dove,Streptopelia orientalis,"ORTD,OTDO,RTDO,STOR"
灰斑鳩,灰斑鳩,Eurasian Collared-Dove,Streptopelia decaocto,"EUCD,CODO,ECDO,STDE"
紅鳩,紅鳩,Red Collared-Dove,Streptopelia tranquebarica,"RCDO,RECD,RTDO,STTR"
珠頸斑鳩,珠頸斑鳩,Spotted Dove,Streptopelia chinensis,"SPDO,STCH"
斑鳩屬(XX鳩),斑鳩屬,Streptopelia sp.,Streptopelia sp.,
斑尾鵑鳩,斑尾鵑鳩,Barred Cuckoo-Dove,Macropygia unchall,"BACD,BCDO,MAUN"
長尾鳩,長尾鳩,Philippine Cuckoo-Dove,Macropygia tenuirostris,"PHCD,PCDO,MATE"
翠翼鳩,翠翼鳩,Asian Emerald Dove,Chalcophaps indica,"AEDO,CEDO,CHIN"
斑馬鳩,斑馬鳩,Zebra Dove,Geopelia striata,"ZEBD,ZEDO,GEST"
綠鳩,綠鳩,White-bellied Green-Pigeon,Treron sieboldii,"WBPI,WBGP,TRSI"
紅頭綠鳩,紅頭綠鳩,Whistling Green-Pigeon,Treron formosae,"WGPI,WHGP,TRFO"
綠鳩屬(XX綠鳩),綠鳩屬,green-pigeon sp.,Treron sp.,
小綠鳩,小綠鳩,Black-chinned Fruit-Dove,Ptilinopus leclancheri,"BCFD,PTLE"
鳩鴿科(XX鳩鴿),鳩鴿科,pigeon/dove sp.,Columbidae sp.,
褐翅鴉鵑,褐翅鴉鵑,Greater Coucal,Centropus sinensis,"GRCO,CESI"
番鵑,番鵑,Lesser Coucal,Centropus bengalensis,"LECO,CEBE"
鴉鵑屬,鴉鵑屬,coucal sp.,Centropus sp.,
冠郭公,冠郭公,Chestnut-winged Cuckoo,Clamator coromandus,"CWCU,CLCO"
斑翅鳳頭鵑,斑翅鳳頭鵑,Pied Cuckoo,Clamator jacobinus,"PICU,JACU,CLJA"
噪鵑,噪鵑,Asian Koel,Eudynamys scolopaceus,"ASKO,EUSC"
八聲杜鵑,八聲杜鵑,Plaintive Cuckoo,Cacomantis merulinus,"PLCU,CAME"
方尾烏鵑,方尾烏鵑,Square-tailed Drongo-Cuckoo,Surniculus lugubris,"STDC,SULU"
鷹鵑,鷹鵑,Large Hawk-Cuckoo,Hierococcyx sparverioides,"LHCU,LAHC,HISP"
北方鷹鵑,北方鷹鵑,Northern Hawk-Cuckoo,Hierococcyx hyperythrus,"NHCU,NOHC,RUHC,RHCU,HIHY"
棕腹鷹鵑,棕腹鷹鵑,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,"HOHC,HHCU,HINI"
鷹鵑屬,鷹鵑屬,hawk-cuckoo sp.,Hierococcyx sp.,
小杜鵑,小杜鵑,Lesser Cuckoo,Cuculus poliocephalus,"LECU,CUPO"
四聲杜鵑,四聲杜鵑,Indian Cuckoo,Cuculus micropterus,"INCU,CUMI"
大杜鵑,大杜鵑,Common Cuckoo,Cuculus canorus,"COCU,CUCA"
北方中杜鵑,北方中杜鵑,Oriental Cuckoo,Cuculus optatus,"ORCU,CUOP"
大杜鵑/北方中杜鵑,大杜鵑/北方中杜鵑,Common/Oriental Cuckoo,Cuculus canorus/optatus,"ORCU,COCU,CUOP,CUCA"
杜鵑屬(XX杜鵑),杜鵑屬,Cuculus sp.,Cuculus sp.,
杜鵑科,杜鵑科,cuckoo sp. (Cuculidae sp.),Cuculidae sp.,
普通夜鷹,普通夜鷹,Gray Nightjar,Caprimulgus jotaka,"GRNI,CAJO"
南亞夜鷹,南亞夜鷹,Savanna Nightjar,Caprimulgus affinis,"SANI,CAAF"
夜鷹屬(XX夜鷹),夜鷹屬,Caprimulgus sp.,Caprimulgus sp.,
白喉針尾雨燕,白喉針尾雨燕,White-throated Needletail,Hirundapus caudacutus,"WTNE,HICA"
灰喉針尾雨燕,灰喉針尾雨燕,Silver-backed Needletail,Hirundapus cochinchinensis,"SBNE,HICO"
針尾雨燕屬(XX針尾雨燕),針尾雨燕屬,Hirundapus sp.,Hirundapus sp.,
短嘴金絲燕,短嘴金絲燕,Himalayan Swiftlet,Aerodramus brevirostris,"HISW,AEBR"
傑曼氏金絲燕,傑曼氏金絲燕,Germain's Swiftlet,Aerodramus germani,"GESW,AEGE"
叉尾雨燕,叉尾雨燕,Pacific Swift,Apus pacificus,"FTSW,PASW,APPA"
小雨燕,小雨燕,House Swift,Apus nipalensis,"HOSW,APNI"
雨燕屬(XX雨燕),雨燕屬,Apus sp.,Apus sp.,
雨燕科(XX雨燕),雨燕科,swift sp.,Apodidae sp.,
西方秧雞,西方秧雞,Water Rail,Rallus aquaticus,"WEWR,WARA,RAAQ"
東亞秧雞,東亞秧雞,Brown-cheeked Rail,Rallus indicus,"BCRA,RAIN"
灰胸秧雞,灰胸秧雞,Slaty-breasted Rail,Lewinia striata,"SBRA,LEST"
斑胸秧雞,斑胸秧雞,Spotted Crake,Porzana porzana,"SPCR,POPO"
紅冠水雞,紅冠水雞,Eurasian Moorhen,Gallinula chloropus,"COMO,EUMO,GACH"
白冠雞,白冠雞,Eurasian Coot,Fulica atra,"EUCO,FUAT"
灰頭紫水雞,灰頭紫水雞,Gray-headed Swamphen,Porphyrio poliocephalus,"GHSW,POPO"
董雞,董雞,Watercock,Gallicrex cinerea,"WATE,GACI"
白腹秧雞,白腹秧雞,White-breasted Waterhen,Amaurornis phoenicurus,"WBWA,AMPH"
白眉秧雞,白眉秧雞,White-browed Crake,Amaurornis cinerea,"WBCR,AMCI"
紅腳秧雞,紅腳秧雞,Red-legged Crake,Rallina fasciata,"RLCR,RAFA"
灰腳秧雞,灰腳秧雞,Slaty-legged Crake,Rallina eurizonoides,"SLCR,RAEU"
秧雞屬,秧雞屬,Rallina sp.,Rallina sp.,
緋秧雞,緋秧雞,Ruddy-breasted Crake,Zapornia fusca,"RBCR,ZAFU"
紅腳苦惡鳥,紅腳苦惡鳥,Brown Crake,Zapornia akool,"BRCR,ZAAK"
小秧雞,小秧雞,Baillon's Crake,Zapornia pusilla,"BACR,MACR,ZAPU"
秧雞科(XX秧雞),秧雞科,rail/crake sp.,Rallidae sp. (rail/crake sp.),
簑羽鶴,簑羽鶴,Demoiselle Crane,Anthropoides virgo,"DECR,ANVI"
白鶴,白鶴,Siberian Crane,Leucogeranus leucogeranus,"SICR,LELE"
沙丘鶴,沙丘鶴,Sandhill Crane,Antigone canadensis,"SACR,ANCA"
白枕鶴,白枕鶴,White-naped Crane,Antigone vipio,"WNCR,ANVI"
灰鶴,灰鶴,Common Crane,Grus grus,"CCRA,COCR,GRGR"
白頭鶴,白頭鶴,Hooded Crane,Grus monacha,"HOCR,GRMO"
丹頂鶴,丹頂鶴,Red-crowned Crane,Grus japonensis,"RCCR,GRJA"
鶴科(XX鶴),鶴科,crane sp.,Gruidae sp.,
高蹺鴴,高蹺鴴,Black-winged Stilt,Himantopus himantopus,"BWST,EBWS,HIHI"
反嘴鴴,反嘴鴴,Pied Avocet,Recurvirostra avosetta,"PIAV,REAV"
蠣鴴,蠣鴴,Eurasian Oystercatcher,Haematopus ostralegus,"EUOY,HAOS"
灰斑鴴,灰斑鴴,Black-bellied Plover,Pluvialis squatarola,"BBPL,GRPL,PLSQ"
美洲金斑鴴,美洲金斑鴴,American Golden-Plover,Pluvialis dominica,"AMGP,AGPL,PLDO"
太平洋金斑鴴,太平洋金斑鴴,Pacific Golden-Plover,Pluvialis fulva,"PAGP,KŌLE,PGPL,PLFU"
小辮鴴,小辮鴴,Northern Lapwing,Vanellus vanellus,"NOLA,VAVA"
跳鴴,跳鴴,Gray-headed Lapwing,Vanellus cinereus,"GHLA,VACI"
蒙古鴴,蒙古鴴,Lesser Sand-Plover,Charadrius mongolus,"LSAP,LSPL,LESD,LSDO,LESP,CHMO"
鐵嘴鴴,鐵嘴鴴,Greater Sand-Plover,Charadrius leschenaultii,"GSAP,GSPL,GRSP,GRSD,GSDO,CHLE"
蒙古/鐵嘴鴴,蒙古/鐵嘴鴴,Lesser/Greater Sand-Plover,Charadrius mongolus/leschenaultii,"LSPL,LSDO,LESP,LSAP,GSDO,GRSP,GSPL,LESD,GSAP,GRSD,CHMO,CHLE"
東方環頸鴴,東方環頸鴴,Kentish Plover,Charadrius alexandrinus,"KEPL,CHAL"
環頸鴴,環頸鴴,Common Ringed Plover,Charadrius hiaticula,"CRPL,RIPL,CHHI"
劍鴴,劍鴴,Long-billed Plover,Charadrius placidus,"LBPL,CHPL"
小環頸鴴,小環頸鴴,Little Ringed Plover,Charadrius dubius,"LRPL,CHDU"
東方紅胸鴴,東方紅胸鴴,Oriental Plover,Charadrius veredus,"ORPL,CHVE"
鴴科(XX鴴),鴴科,plover sp.,Charadriidae sp.,
彩鷸,彩鷸,Greater Painted-Snipe,Rostratula benghalensis,"GPSN,GRPS,ROBE"
水雉,水雉,Pheasant-tailed Jacana,Hydrophasianus chirurgus,"PTJA,HYCH"
中杓鷸,中杓鷸,Whimbrel,Numenius phaeopus,"WHIM,NUPH"
小杓鷸,小杓鷸,Little Curlew,Numenius minutus,"LICU,LIWH,NUMI"
黦鷸,黦鷸,Far Eastern Curlew,Numenius madagascariensis,"FECU,EACU,NUMA"
大杓鷸,大杓鷸,Eurasian Curlew,Numenius arquata,"EUCU,NUAR"
中/大杓鷸,中/大杓鷸,Whimbrel/Eurasian Curlew,Numenius phaeopus/arquata,
黦鷸/大杓鷸,黦鷸/大杓鷸,Far Eastern/Eurasian Curlew,Numenius madagascariensis/arquata,
杓鷸屬(XX杓鷸),杓鷸屬,curlew sp.,Numenius sp.,
斑尾鷸,斑尾鷸,Bar-tailed Godwit,Limosa lapponica,"BTGO,LILA"
黑尾鷸,黑尾鷸,Black-tailed Godwit,Limosa limosa,"BTGD,BTGO,LILI"
塍鷸屬,塍鷸屬,godwit sp.,Limosa sp.,
翻石鷸,翻石鷸,Ruddy Turnstone,Arenaria interpres,"RUTU,ARIN"
大濱鷸,大濱鷸,Great Knot,Calidris tenuirostris,"GRKN,CATE"
紅腹濱鷸,紅腹濱鷸,Red Knot,Calidris canutus,"REKN,CACA"
流蘇鷸,流蘇鷸,Ruff,Calidris pugnax,"RUFF,CAPU"
寬嘴鷸,寬嘴鷸,Broad-billed Sandpiper,Calidris falcinellus,"BBIS,BBSA,CAFA"
尖尾濱鷸,尖尾濱鷸,Sharp-tailed Sandpiper,Calidris acuminata,"SPTS,STSA,CAAC"
高蹺濱鷸,高蹺濱鷸,Stilt Sandpiper,Calidris himantopus,"STSA,CAHI"
彎嘴濱鷸,彎嘴濱鷸,Curlew Sandpiper,Calidris ferruginea,"CUSA,CAFE"
丹氏濱鷸,丹氏濱鷸,Temminck's Stint,Calidris temminckii,"TEST,CATE"
長趾濱鷸,長趾濱鷸,Long-toed Stint,Calidris subminuta,"LTST,CASU"
琵嘴鷸,琵嘴鷸,Spoon-billed Sandpiper,Calidris pygmaea,"SBSA,CAPY"
紅胸濱鷸,紅胸濱鷸,Red-necked Stint,Calidris ruficollis,"RNST,CARU"
三趾濱鷸,三趾濱鷸,Sanderling,Calidris alba,"SAND,HUNA,CAAL"
黑腹濱鷸,黑腹濱鷸,Dunlin,Calidris alpina,"DUNL,CAAL"
彎嘴/黑腹濱鷸,彎嘴/黑腹濱鷸,Curlew Sandpiper/Dunlin,Calidris ferruginea/alpina,
小濱鷸,小濱鷸,Little Stint,Calidris minuta,"LIST,CAMI"
紅胸/小濱鷸,紅胸/小濱鷸,Red-necked/Little Stint,Calidris ruficollis/minuta,
黃胸鷸,黃胸鷸,Buff-breasted Sandpiper,Calidris subruficollis,"BBSA,CASU"
美洲尖尾濱鷸,美洲尖尾濱鷸,Pectoral Sandpiper,Calidris melanotos,"PESA,CAME"
濱鷸屬(XX濱鷸),濱鷸屬,Calidris sp.,Calidris sp.,
半蹼鷸,半蹼鷸,Asian Dowitcher,Limnodromus semipalmatus,"ASDO,LISE"
長嘴半蹼鷸,長嘴半蹼鷸,Long-billed Dowitcher,Limnodromus scolopaceus,"LBDO,LISC"
小鷸,小鷸,Jack Snipe,Lymnocryptes minimus,"JASN,LYMI"
山鷸,山鷸,Eurasian Woodcock,Scolopax rusticola,"EUWO,SCRU"
孤田鷸,孤田鷸,Solitary Snipe,Gallinago solitaria,"SOSN,GASO"
大地鷸,大地鷸,Latham's Snipe,Gallinago hardwickii,"LASN,GAHA"
田鷸,田鷸,Common Snipe,Gallinago gallinago,"COSN,GAGA"
針尾鷸,針尾鷸,Pin-tailed Snipe,Gallinago stenura,"PTSN,PISN,GAST"
田/針尾鷸,田/針尾鷸,Common/Pin-tailed Snipe,Gallinago gallinago/stenura,
中地鷸,中地鷸,Swinhoe's Snipe,Gallinago megala,"SWSN,GAME"
針尾鷸/中地鷸,針尾鷸/中地鷸,Pin-tailed/Swinhoe's Snipe,Gallinago stenura/megala,
田鷸屬(XX田鷸),田鷸屬,snipe sp.,Gallinago sp.,
反嘴鷸,反嘴鷸,Terek Sandpiper,Xenus cinereus,"TESA,XECI"
紅領瓣足鷸,紅領瓣足鷸,Red-necked Phalarope,Phalaropus lobatus,"RNPH,PHLO"
灰瓣足鷸,灰瓣足鷸,Red Phalarope,Phalaropus fulicarius,"REPH,GRPH,PHFU"
紅領/灰瓣足鷸,紅領/灰瓣足鷸,Red-necked/Red Phalarope,Phalaropus lobatus/fulicarius,
瓣足鷸屬(XX瓣足鷸),瓣足鷸屬,phalarope sp.,Phalaropus sp.,
磯鷸,磯鷸,Common Sandpiper,Actitis hypoleucos,"COSA,ACHY"
白腰草鷸,白腰草鷸,Green Sandpiper,Tringa ochropus,"GRSA,TROC"
黃足鷸,黃足鷸,Gray-tailed Tattler,Tringa brevipes,"GTTA,TRBR"
美洲黃足鷸,美洲黃足鷸,Wandering Tattler,Tringa incana,"WATA,TRIN"
鶴鷸,鶴鷸,Spotted Redshank,Tringa erythropus,"SPRE,TRER"
青足鷸,青足鷸,Common Greenshank,Tringa nebularia,"COMG,COGR,TRNE"
諾氏鷸,諾氏鷸,Nordmann's Greenshank,Tringa guttifer,"NOGR,TRGU"
青足鷸/諾氏鷸,青足鷸/諾氏鷸,Common/Nordmann's Greenshank,Tringa nebularia/guttifer,
小青足鷸,小青足鷸,Marsh Sandpiper,Tringa stagnatilis,"MASA,TRST"
鷹斑鷸,鷹斑鷸,Wood Sandpiper,Tringa glareola,"WOSA,TRGL"
赤足鷸,赤足鷸,Common Redshank,Tringa totanus,"CREH,CORE,TRTO"
鷸屬(XX鷸),鷸屬,Tringa sp.,Tringa sp.,
鷸科(XX鷸),鷸科,Scolopacidae sp.,Scolopacidae sp.,
林三趾鶉,林三趾鶉,Small Buttonquail,Turnix sylvaticus,"COBU,SMBU,TUSY"
黃腳三趾鶉,黃腳三趾鶉,Yellow-legged Buttonquail,Turnix tanki,"YLBU,TUTA"
棕三趾鶉,棕三趾鶉,Barred Buttonquail,Turnix suscitator,"BABU,TUSU"
三趾鶉屬(XX三趾鶉),三趾鶉屬,buttonquail sp.,Turnix sp.,
燕鴴,燕鴴,Oriental Pratincole,Glareola maldivarum,"ORPR,GLMA"
鴴形目(XX鷸鴴),鴴形目,shorebird sp.,Charadriiformes sp.,
中賊鷗,中賊鷗,Pomarine Jaeger,Stercorarius pomarinus,"POJA,POSK,STPO"
短尾賊鷗,短尾賊鷗,Parasitic Jaeger,Stercorarius parasiticus,"PAJA,ARJA,ARSK,STPA"
長尾賊鷗,長尾賊鷗,Long-tailed Jaeger,Stercorarius longicaudus,"LTJA,LTSK,STLO"
賊鷗類(XX賊鷗),賊鷗類,jaeger/skua sp.,Stercorarius sp.,
小型海雀類,小型海雀類,murrelet sp.,Brachyramphus/Synthliboramphus sp.,
三趾鷗,三趾鷗,Black-legged Kittiwake,Rissa tridactyla,"BLKI,RITR"
黑嘴鷗,黑嘴鷗,Saunders's Gull,Saundersilarus saundersi,"SAGU,SASA"
細嘴鷗,細嘴鷗,Slender-billed Gull,Chroicocephalus genei,"SBGU,CHGE"
紅嘴鷗,紅嘴鷗,Black-headed Gull,Chroicocephalus ridibundus,"BHGU,CBHG,CHRI"
棕頭鷗,棕頭鷗,Brown-headed Gull,Chroicocephalus brunnicephalus,"BHGU,CHBR"
遺鷗,遺鷗,Relict Gull,Ichthyaetus relictus,"REGU,ICRE"
漁鷗,漁鷗,Pallas's Gull,Ichthyaetus ichthyaetus,"PAGU,GBHG,ICIC"
黑尾鷗,黑尾鷗,Black-tailed Gull,Larus crassirostris,"BTGU,LACR"
海鷗,海鷗,Mew Gull,Larus canus,"MEGU,COGU,LACA"
銀鷗,銀鷗,Herring Gull,Larus argentatus,"HERG,AHHG,HEGU,LAAR"
小黑背鷗,小黑背鷗,Lesser Black-backed Gull,Larus fuscus,"LBBG,LAFU"
銀鷗/小黑背鷗,銀鷗/小黑背鷗,Herring/Lesser Black-backed Gull,Larus argentatus/fuscus,
灰背鷗,灰背鷗,Slaty-backed Gull,Larus schistisagus,"SBGU,LASC"
大鷗(白翅),大鷗(白翅),white-winged gull sp.,Larus sp. (white-winged gull sp.),
大鷗類,大鷗類,Larus sp.,Larus sp.,UNLG
鷗屬(XX鷗),鷗屬,gull sp.,Larinae sp.,
玄燕鷗,玄燕鷗,Brown Noddy,Anous stolidus,"BRNO,NOKŌ,CONO,ANST"
黑玄燕鷗,黑玄燕鷗,Black Noddy,Anous minutus,"BLNO,NOIO,ANMI"
烏領燕鷗,烏領燕鷗,Sooty Tern,Onychoprion fuscatus,"SOTE,ONFU"
白眉燕鷗,白眉燕鷗,Bridled Tern,Onychoprion anaethetus,"BRTE,ONAN"
白腰燕鷗,白腰燕鷗,Aleutian Tern,Onychoprion aleuticus,"ALTE,ONAL"
小燕鷗,小燕鷗,Little Tern,Sternula albifrons,"LITE,STAL"
鷗嘴燕鷗,鷗嘴燕鷗,Gull-billed Tern,Gelochelidon nilotica,"GBTE,GENI"
裏海燕鷗,裏海燕鷗,Caspian Tern,Hydroprogne caspia,"CATE,HYCA"
黑浮鷗,黑浮鷗,Black Tern,Chlidonias niger,"BLTE,CHNI"
白翅黑燕鷗,白翅黑燕鷗,White-winged Tern,Chlidonias leucopterus,"WWTE,WWBT,CHLE"
黑腹燕鷗,黑腹燕鷗,Whiskered Tern,Chlidonias hybrida,"WHST,WHTE,CHHY"
浮鷗屬(XX浮鷗),浮鷗屬,Chlidonias sp.,Chlidonias sp.,
紅燕鷗,紅燕鷗,Roseate Tern,Sterna dougallii,"ROST,ROTE,STDO"
蒼燕鷗,蒼燕鷗,Black-naped Tern,Sterna sumatrana,"BNTE,STSU"
燕鷗,燕鷗,Common Tern,Sterna hirundo,"COTE,STHI"
燕鷗屬(XX燕鷗),燕鷗屬,Sterna sp.,Sterna sp.,
鳳頭燕鷗,鳳頭燕鷗,Great Crested Tern,Thalasseus bergii,"GCTE,SWTE,CRTE,THBE"
小鳳頭燕鷗,小鳳頭燕鷗,Lesser Crested Tern,Thalasseus bengalensis,"LCTE,THBE"
黑嘴端鳳頭燕鷗,黑嘴端鳳頭燕鷗,Chinese Crested Tern,Thalasseus bernsteini,"CCTE,THBE"
鳳頭燕鷗屬(XX鳳頭燕鷗),鳳頭燕鷗屬,Thalasseus sp.,Thalasseus sp.,
大型燕鷗類,大型燕鷗類,large tern sp.,Hydroprogne/Thalasseus sp.,
燕鷗亞科,燕鷗亞科,tern sp.,Sterninae sp.,
鷗或燕鷗類(鷗科),鷗或燕鷗類(鷗科),gull/tern sp.,Laridae sp.,
黑叉尾海燕,黑叉尾海燕,Swinhoe's Storm-Petrel,Oceanodroma monorhis,"SSTP,SWSP,SSPE,OCMO"
穴鳥,穴鳥,Bulwer's Petrel,Bulweria bulwerii,"BUPE,BUBU"
大水薙鳥,大水薙鳥,Streaked Shearwater,Calonectris leucomelas,"STRS,STSH,CALE"
肉足水薙鳥,肉足水薙鳥,Flesh-footed Shearwater,Ardenna carneipes,"FFSH,ARCA"
長尾水薙鳥,長尾水薙鳥,Wedge-tailed Shearwater,Ardenna pacifica,"WTSH,ARPA"
灰水薙鳥,灰水薙鳥,Sooty Shearwater,Ardenna grisea,"SOSH,ARGR"
短尾水薙鳥,短尾水薙鳥,Short-tailed Shearwater,Ardenna tenuirostris,"STTS,STSH,ARTE"
黑白水薙鳥類,黑白水薙鳥類,black-and-white shearwater sp.,Puffinus sp. (black-and-white shearwater sp.),
水薙鳥類(XX水薙鳥),水薙鳥類,shearwater sp.,Procellariidae sp. (shearwater sp.),
鸌科,鸌科,Procellariid sp.,Procellariidae sp.,
黑鸛,黑鸛,Black Stork,Ciconia nigra,"BLST,CINI"
白鸛,白鸛,White Stork,Ciconia ciconia,"WHST,CICI"
東方白鸛,東方白鸛,Oriental Stork,Ciconia boyciana,"ORST,CIBO"
白斑軍艦鳥,白斑軍艦鳥,Lesser Frigatebird,Fregata ariel,"LEFR,FRAR"
軍艦鳥,軍艦鳥,Great Frigatebird,Fregata minor,"GREF,GRFR,FRMI"
軍艦鳥科(XX軍艦鳥),軍艦鳥科,frigatebird sp.,Fregata sp.,
藍臉鰹鳥,藍臉鰹鳥,Masked Booby,Sula dactylatra,"MABO,SUDA"
白腹鰹鳥,白腹鰹鳥,Brown Booby,Sula leucogaster,"BRBO,SULE"
紅腳鰹鳥,紅腳鰹鳥,Red-footed Booby,Sula sula,"RFBO,SUSU"
鰹鳥類,鰹鳥類,booby sp.,Sula sp.,
海鸕鷀,海鸕鷀,Pelagic Cormorant,Phalacrocorax pelagicus,"PECO,PHPE"
鸕鷀,鸕鷀,Great Cormorant,Phalacrocorax carbo,"GRCO,BLSH,GBCO,WBCO,PHCA"
丹氏鸕鷀,丹氏鸕鷀,Japanese Cormorant,Phalacrocorax capillatus,"JACO,PHCA"
鸕鷀類(XX鸕鷀),鸕鷀類,cormorant sp.,Phalacrocoracidae sp.,
卷羽鵜鶘,卷羽鵜鶘,Dalmatian Pelican,Pelecanus crispus,"DAPE,PECR"
大麻鷺,大麻鷺,Great Bittern,Botaurus stellaris,"EUBI,GRBI,BOST"
黃小鷺,黃小鷺,Yellow Bittern,Ixobrychus sinensis,"YEBI,IXSI"
秋小鷺,秋小鷺,Schrenck's Bittern,Ixobrychus eurhythmus,"VSBI,SCBI,IXEU"
栗小鷺,栗小鷺,Cinnamon Bittern,Ixobrychus cinnamomeus,"CIBI,IXCI"
黃頸黑鷺,黃頸黑鷺,Black Bittern,Ixobrychus flavicollis,"BLBI,IXFL"
葦鷺屬,葦鷺屬,small bittern sp.,Ixobrychus sp.,
蒼鷺,蒼鷺,Gray Heron,Ardea cinerea,"GRAH,GRHE,ARCI"
紫鷺,紫鷺,Purple Heron,Ardea purpurea,"PUHE,ARPU"
蒼/紫鷺,蒼/紫鷺,Gray/Purple Heron,Ardea cinerea/purpurea,
大白鷺,大白鷺,Great Egret,Ardea alba,"GREG,WHHE,GWEG,ARAL"
中白鷺,中白鷺,Intermediate Egret,Ardea intermedia,"INEG,YBEG,ARIN"
大/中白鷺,大/中白鷺,Great/Intermediate Egret,Ardea alba/intermedia,"YBEG,GWEG,GREG,INEG,WHHE,ARIN,ARAL"
白臉鷺,白臉鷺,White-faced Heron,Egretta novaehollandiae,"WFHE,EGNO"
唐白鷺,唐白鷺,Chinese Egret,Egretta eulophotes,"CHEG,EGEU"
小白鷺,小白鷺,Little Egret,Egretta garzetta,"LIEG,EGGA"
岩鷺,岩鷺,Pacific Reef-Heron,Egretta sacra,"PRHE,PARH,REHE,EREG,EGSA"
白頸黑鷺,白頸黑鷺,Pied Heron,Egretta picata,"PIHE,EGPI"
黃頭鷺,黃頭鷺,Cattle Egret,Bubulcus ibis,"CAEG,WCEG,BUIB"
白鷺類(XX白鷺),白鷺類,white egret sp.,Ardea/Egretta/Bubulcus sp.,
池鷺,池鷺,Chinese Pond-Heron,Ardeola bacchus,"CHPH,CPHE,ARBA"
爪哇池鷺,爪哇池鷺,Javan Pond-Heron,Ardeola speciosa,"JPHE,JAPH,ARSP"
池鷺屬,池鷺屬,pond-heron sp.,Ardeola sp.,
綠簑鷺,綠簑鷺,Striated Heron,Butorides striata,"STRH,STHE,GBHE,BUST"
夜鷺,夜鷺,Black-crowned Night-Heron,Nycticorax nycticorax,"BCNH,NYNY"
棕夜鷺,棕夜鷺,Rufous Night-Heron,Nycticorax caledonicus,"NNHE,NANH,RUNH,RNHE,NYCA"
麻鷺,麻鷺,Japanese Night-Heron,Gorsachius goisagi,"JNHE,JANH,GOGO"
黑冠麻鷺,黑冠麻鷺,Malayan Night-Heron,Gorsachius melanolophus,"MANH,MNHE,GOME"
麻鷺/黑冠麻鷺,麻鷺/黑冠麻鷺,Japanese/Malayan Night-Heron,Gorsachius goisagi/melanolophus,
鷺科(XX鷺),鷺科,heron sp.,Ardeidae sp.,
彩䴉,彩䴉,Glossy Ibis,Plegadis falcinellus,"GLIB,PLFA"
埃及聖䴉,埃及聖䴉,African Sacred Ibis,Threskiornis aethiopicus,"ASIB,SAIB,THAE"
埃及/馬島聖䴉,埃及/馬島聖䴉,African/Madagascar Sacred Ibis,Threskiornis aethiopicus/bernieri,
黑頭白䴉,黑頭白䴉,Black-headed Ibis,Threskiornis melanocephalus,"BHIB,THME"
䴉科(XX䴉),䴉科,ibis sp.,Threskiornithidae sp. (ibis sp.),
白琵鷺,白琵鷺,Eurasian Spoonbill,Platalea leucorodia,"EURS,EUSP,PLLE"
黑面琵鷺,黑面琵鷺,Black-faced Spoonbill,Platalea minor,"BFSP,PLMI"
琵鷺屬(XX琵鷺),琵鷺屬,spoonbill sp.,Platalea sp.,
魚鷹,魚鷹,Osprey,Pandion haliaetus,"OSPR,WEOS,PAHA"
黑翅鳶,黑翅鳶,Black-winged Kite,Elanus caeruleus,"BWKI,ABSK,ELCA"
東方蜂鷹,東方蜂鷹,Oriental Honey-buzzard,Pernis ptilorhynchus,"OHBU,ORHB,CRHB,CHBU,PEPT"
黑冠鵑隼,黑冠鵑隼,Black Baza,Aviceda leuphotes,"BLBA,AVLE"
禿鷲,禿鷲,Cinereous Vulture,Aegypius monachus,"BLVU,CIVU,AEMO"
大冠鷲,大冠鷲,Crested Serpent-Eagle,Spilornis cheela,"CRSE,CSEA,SPCH"
熊鷹,熊鷹,Mountain Hawk-Eagle,Nisaetus nipalensis,"MHEA,MOHE,NINI"
林鵰,林鵰,Black Eagle,Ictinaetus malaiensis,"BLEA,ICMA"
花鵰,花鵰,Greater Spotted Eagle,Clanga clanga,"GSEA,CLCL"
靴雕,靴雕,Booted Eagle,Hieraaetus pennatus,"BOEA,HIPE"
白肩鵰,白肩鵰,Imperial Eagle,Aquila heliaca,"EIEA,IMEA,AQHE"
白腹鵰,白腹鵰,Bonelli's Eagle,Aquila fasciata,"BOEA,AQFA"
鵰屬(XX鵰),鵰屬,Aquila sp.,Aquila sp.,
花鵰屬/鵰屬,花鵰屬/鵰屬,Clanga/Aquila sp.,Clanga/Aquila sp.,
