中文名,學名,英文名,科名
鷹鵑,Hierococcyx sparverioides,Large Hawk-Cuckoo,杜鵑科 Cuculidae
北方鷹鵑,Hierococcyx hyperythrus,Northern Hawk-Cuckoo,杜鵑科 Cuculidae
棕腹鷹鵑,Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,杜鵑科 Cuculidae
小杜鵑,Cuculus poliocephalus,Lesser Cuckoo,杜鵑科 Cuculidae
四聲杜鵑,Cuculus micropterus,Indian Cuckoo,杜鵑科 Cuculidae
大杜鵑,Cuculus canorus,Common Cuckoo,杜鵑科 Cuculidae
北方中杜鵑,Cuculus optatus,Oriental Cuckoo,杜鵑科 Cuculidae
普通夜鷹,Caprimulgus jotaka,Gray Nightjar,夜鷹科 Caprimulgidae
南亞夜鷹,Caprimulgus affinis,Savanna Nightjar,夜鷹科 Caprimulgidae
白喉針尾雨燕,Hirundapus caudacutus,White-throated Needletail,雨燕科 Apodidae
灰喉針尾雨燕,Hirundapus cochinchinensis,Silver-backed Needletail,雨燕科 Apodidae
紫針尾雨燕,Hirundapus celebensis,Purple Needletail,雨燕科 Apodidae
短嘴金絲燕,Aerodramus brevirostris,Himalayan Swiftlet,雨燕科 Apodidae
叉尾雨燕,Apus pacificus,Pacific Swift,雨燕科 Apodidae
小雨燕,Apus nipalensis,House Swift,雨燕科 Apodidae
西方秧雞,Rallus aquaticus,Water Rail,秧雞科 Rallidae
東亞秧雞,Rallus indicus,Brown-cheeked Rail,秧雞科 Rallidae
灰胸秧雞,Lewinia striata,Slaty-breasted Rail,秧雞科 Rallidae
斑胸秧雞,Porzana porzana,Spotted Crake,秧雞科 Rallidae
紅冠水雞,Gallinula chloropus,Eurasian Moorhen,秧雞科 Rallidae
白冠雞,Fulica atra,Eurasian Coot,秧雞科 Rallidae
灰頭紫水雞,Porphyrio poliocephalus,Gray-headed Swamphen,秧雞科 Rallidae
董雞,Gallicrex cinerea,Watercock,秧雞科 Rallidae
白腹秧雞,Amaurornis phoenicurus,White-breasted Waterhen,秧雞科 Rallidae
白眉秧雞,Amaurornis cinerea,White-browed Crake,秧雞科 Rallidae
紅腳秧雞,Rallina fasciata,Red-legged Crake,秧雞科 Rallidae
灰腳秧雞,Rallina eurizonoides,Slaty-legged Crake,秧雞科 Rallidae
緋秧雞,Zapornia fusca,Ruddy-breasted Crake,秧雞科 Rallidae
斑脇秧雞,Zapornia paykullii,Band-bellied Crake,秧雞科 Rallidae
紅腳苦惡鳥,Zapornia akool,Brown Crake,秧雞科 Rallidae
小秧雞,Zapornia pusilla,Baillon's Crake,秧雞科 Rallidae
簑羽鶴,Anthropoides virgo,Demoiselle Crane,鶴科 Gruidae
白鶴,Leucogeranus leucogeranus,Siberian Crane,鶴科 Gruidae
沙丘鶴,Antigone canadensis,Sandhill Crane,鶴科 Gruidae
白枕鶴,Antigone vipio,White-naped Crane,鶴科 Gruidae
灰鶴,Grus grus,Common Crane,鶴科 Gruidae
白頭鶴,Grus monacha,Hooded Crane,鶴科 Gruidae
丹頂鶴,Grus japonensis,Red-crowned Crane,鶴科 Gruidae
高蹺鴴,Himantopus himantopus,Black-winged Stilt,長腳鷸科 Recurvirostridae
反嘴鴴,Recurvirostra avosetta,Pied Avocet,長腳鷸科 Recurvirostridae
蠣鴴,Haematopus ostralegus,Eurasian Oystercatcher,蠣鷸科 Haematopodidae
灰斑鴴,Pluvialis squatarola,Black-bellied Plover,鴴科 Charadriidae
太平洋金斑鴴,Pluvialis fulva,Pacific Golden-Plover,鴴科 Charadriidae
小辮鴴,Vanellus vanellus,Northern Lapwing,鴴科 Charadriidae
跳鴴,Vanellus cinereus,Gray-headed Lapwing,鴴科 Charadriidae
蒙古鴴,Charadrius mongolus,Lesser Sand-Plover,鴴科 Charadriidae
鐵嘴鴴,Charadrius leschenaultii,Greater Sand-Plover,鴴科 Charadriidae
東方環頸鴴,Charadrius alexandrinus,Kentish Plover,鴴科 Charadriidae
環頸鴴,Charadrius hiaticula,Common Ringed Plover,鴴科 Charadriidae
劍鴴,Charadrius placidus,Long-billed Plover,鴴科 Charadriidae
小環頸鴴,Charadrius dubius,Little Ringed Plover,鴴科 Charadriidae
東方紅胸鴴,Charadrius veredus,Oriental Plover,鴴科 Charadriidae
彩鷸,Rostratula benghalensis,Greater Painted-Snipe,彩鷸科 Rostratulidae
水雉,Hydrophasianus chirurgus,Pheasant-tailed Jacana,水雉科 Jacanidae
中杓鷸,Numenius phaeopus,Whimbrel,鷸科 Scolopacidae
小杓鷸,Numenius minutus,Little Curlew,鷸科 Scolopacidae
黦鷸,Numenius madagascariensis,Far Eastern Curlew,鷸科 Scolopacidae
大杓鷸,Numenius arquata,Eurasian Curlew,鷸科 Scolopacidae
斑尾鷸,Limosa lapponica,Bar-tailed Godwit,鷸科 Scolopacidae
黑尾鷸,Limosa limosa,Black-tailed Godwit,鷸科 Scolopacidae
翻石鷸,Arenaria interpres,Ruddy Turnstone,鷸科 Scolopacidae
大濱鷸,Calidris tenuirostris,Great Knot,鷸科 Scolopacidae
紅腹濱鷸,Calidris canutus,Red Knot,鷸科 Scolopacidae
流蘇鷸,Calidris pugnax,Ruff,鷸科 Scolopacidae
寬嘴鷸,Calidris falcinellus,Broad-billed Sandpiper,鷸科 Scolopacidae
尖尾濱鷸,Calidris acuminata,Sharp-tailed Sandpiper,鷸科 Scolopacidae
高蹺濱鷸,Calidris himantopus,Stilt Sandpiper,鷸科 Scolopacidae
彎嘴濱鷸,Calidris ferruginea,Curlew Sandpiper,鷸科 Scolopacidae
丹氏濱鷸,Calidris temminckii,Temminck's Stint,鷸科 Scolopacidae
長趾濱鷸,Calidris subminuta,Long-toed Stint,鷸科 Scolopacidae
琵嘴鷸,Calidris pygmaea,Spoon-billed Sandpiper,鷸科 Scolopacidae
紅胸濱鷸,Calidris ruficollis,Red-necked Stint,鷸科 Scolopacidae
三趾濱鷸,Calidris alba,Sanderling,鷸科 Scolopacidae
黑腹濱鷸,Calidris alpina,Dunlin,鷸科 Scolopacidae
小濱鷸,Calidris minuta,Little Stint,鷸科 Scolopacidae
黃胸鷸,Calidris subruficollis,Buff-breasted Sandpiper,鷸科 Scolopacidae
美洲尖尾濱鷸,Calidris melanotos,Pectoral Sandpiper,鷸科 Scolopacidae
西濱鷸,Calidris mauri,Western Sandpiper,鷸科 Scolopacidae
半蹼鷸,Limnodromus semipalmatus,Asian Dowitcher,鷸科 Scolopacidae
長嘴半蹼鷸,Limnodromus scolopaceus,Long-billed Dowitcher,鷸科 Scolopacidae
小鷸,Lymnocryptes minimus,Jack Snipe,鷸科 Scolopacidae
山鷸,Scolopax rusticola,Eurasian Woodcock,鷸科 Scolopacidae
孤田鷸,Gallinago solitaria,Solitary Snipe,鷸科 Scolopacidae
大地鷸,Gallinago hardwickii,Latham's Snipe,鷸科 Scolopacidae
田鷸,Gallinago gallinago,Common Snipe,鷸科 Scolopacidae
針尾鷸,Gallinago stenura,Pin-tailed Snipe,鷸科 Scolopacidae
中地鷸,Gallinago megala,Swinhoe's Snipe,鷸科 Scolopacidae
反嘴鷸,Xenus cinereus,Terek Sandpiper,鷸科 Scolopacidae
紅領瓣足鷸,Phalaropus lobatus,Red-necked Phalarope,鷸科 Scolopacidae
灰瓣足鷸,Phalaropus fulicarius,Red Phalarope,鷸科 Scolopacidae
磯鷸,Actitis hypoleucos,Common Sandpiper,鷸科 Scolopacidae
白腰草鷸,Tringa ochropus,Green Sandpiper,鷸科 Scolopacidae
黃足鷸,Tringa brevipes,Gray-tailed Tattler,鷸科 Scolopacidae
美洲黃足鷸,Tringa incana,Wandering Tattler,鷸科 Scolopacidae
鶴鷸,Tringa erythropus,Spotted Redshank,鷸科 Scolopacidae
青足鷸,Tringa nebularia,Common Greenshank,鷸科 Scolopacidae
諾氏鷸,Tringa guttifer,Nordmann's Greenshank,鷸科 Scolopacidae
小黃腳鷸,Tringa flavipes,Lesser Yellowlegs,鷸科 Scolopacidae
小青足鷸,Tringa stagnatilis,Marsh Sandpiper,鷸科 Scolopacidae
鷹斑鷸,Tringa glareola,Wood Sandpiper,鷸科 Scolopacidae
赤足鷸,Tringa totanus,Common Redshank,鷸科 Scolopacidae
林三趾鶉,Turnix sylvaticus,Small Buttonquail,三趾鶉科 Turnicidae
黃腳三趾鶉,Turnix tanki,Yellow-legged Buttonquail,三趾鶉科 Turnicidae
棕三趾鶉,Turnix suscitator,Barred Buttonquail,三趾鶉科 Turnicidae
燕鴴,Glareola maldivarum,Oriental Pratincole,燕鴴科 Glareolidae
灰賊鷗,Stercorarius maccormicki,South Polar Skua,賊鷗科 Stercorariidae
中賊鷗,Stercorarius pomarinus,Pomarine Jaeger,賊鷗科 Stercorariidae
短尾賊鷗,Stercorarius parasiticus,Parasitic Jaeger,賊鷗科 Stercorariidae
長尾賊鷗,Stercorarius longicaudus,Long-tailed Jaeger,賊鷗科 Stercorariidae
崖海鴉,Uria aalge,Common Murre,海雀科 Alcidae
扁嘴海雀,Synthliboramphus antiquus,Ancient Murrelet,海雀科 Alcidae
冠海雀,Synthliboramphus wumizusume,Japanese Murrelet,海雀科 Alcidae
三趾鷗,Rissa tridactyla,Black-legged Kittiwake,鷗科 Laridae
叉尾鷗,Xema sabini,Sabine's Gull,鷗科 Laridae
黑嘴鷗,Saundersilarus saundersi,Saunders's Gull,鷗科 Laridae
細嘴鷗,Chroicocephalus genei,Slender-billed Gull,鷗科 Laridae
澳洲紅嘴鷗,Chroicocephalus novaehollandiae,Silver Gull,鷗科 Laridae
紅嘴鷗,Chroicocephalus ridibundus,Black-headed Gull,鷗科 Laridae
棕頭鷗,Chroicocephalus brunnicephalus,Brown-headed Gull,鷗科 Laridae
小鷗,Hydrocoloeus minutus,Little Gull,鷗科 Laridae
笑鷗,Leucophaeus atricilla,Laughing Gull,鷗科 Laridae
弗氏鷗,Leucophaeus pipixcan,Franklin's Gull,鷗科 Laridae
遺鷗,Ichthyaetus relictus,Relict Gull,鷗科 Laridae
漁鷗,Ichthyaetus ichthyaetus,Pallas's Gull,鷗科 Laridae
黑尾鷗,Larus crassirostris,Black-tailed Gull,鷗科 Laridae
海鷗,Larus canus,Mew Gull,鷗科 Laridae
銀鷗,Larus argentatus,Herring Gull,鷗科 Laridae
小黑背鷗,Larus fuscus,Lesser Black-backed Gull,鷗科 Laridae
灰背鷗,Larus schistisagus,Slaty-backed Gull,鷗科 Laridae
北極鷗,Larus hyperboreus,Glaucous Gull,鷗科 Laridae
玄燕鷗,Anous stolidus,Brown Noddy,鷗科 Laridae
黑玄燕鷗,Anous minutus,Black Noddy,鷗科 Laridae
烏領燕鷗,Onychoprion fuscatus,Sooty Tern,鷗科 Laridae
白眉燕鷗,Onychoprion anaethetus,Bridled Tern,鷗科 Laridae
白腰燕鷗,Onychoprion aleuticus,Aleutian Tern,鷗科 Laridae
小燕鷗,Sternula albifrons,Little Tern,鷗科 Laridae
鷗嘴燕鷗,Gelochelidon nilotica,Gull-billed Tern,鷗科 Laridae
裏海燕鷗,Hydroprogne caspia,Caspian Tern,鷗科 Laridae
黑浮鷗,Chlidonias niger,Black Tern,鷗科 Laridae
白翅黑燕鷗,Chlidonias leucopterus,White-winged Tern,鷗科 Laridae
黑腹燕鷗,Chlidonias hybrida,Whiskered Tern,鷗科 Laridae
紅燕鷗,Sterna dougallii,Roseate Tern,鷗科 Laridae
蒼燕鷗,Sterna sumatrana,Black-naped Tern,鷗科 Laridae
燕鷗,Sterna hirundo,Common Tern,鷗科 Laridae
鳳頭燕鷗,Thalasseus bergii,Great Crested Tern,鷗科 Laridae
白嘴端燕鷗,Thalasseus sandvicensis,Sandwich Tern,鷗科 Laridae
小鳳頭燕鷗,Thalasseus bengalensis,Lesser Crested Tern,鷗科 Laridae
黑嘴端鳳頭燕鷗,Thalasseus bernsteini,Chinese Crested Tern,鷗科 Laridae
白尾熱帶鳥,Phaethon lepturus,White-tailed Tropicbird,熱帶鳥科 Phaethontidae
紅嘴熱帶鳥,Phaethon aethereus,Red-billed Tropicbird,熱帶鳥科 Phaethontidae
紅尾熱帶鳥,Phaethon rubricauda,Red-tailed Tropicbird,熱帶鳥科 Phaethontidae
紅喉潛鳥,Gavia stellata,Red-throated Loon,潛鳥科 Gaviidae
黑喉潛鳥,Gavia arctica,Arctic Loon,潛鳥科 Gaviidae
太平洋潛鳥,Gavia pacifica,Pacific Loon,潛鳥科 Gaviidae
白嘴潛鳥,Gavia adamsii,Yellow-billed Loon,潛鳥科 Gaviidae
黑背信天翁,Phoebastria immutabilis,Laysan Albatross,信天翁科 Diomedeidae
黑腳信天翁,Phoebastria nigripes,Black-footed Albatross,信天翁科 Diomedeidae
短尾信天翁,Phoebastria albatrus,Short-tailed Albatross,信天翁科 Diomedeidae
白腰叉尾海燕,Oceanodroma leucorhoa,Leach's Storm-Petrel,海燕科 Hydrobatidae
黑叉尾海燕,Oceanodroma monorhis,Swinhoe's Storm-Petrel,海燕科 Hydrobatidae
褐翅叉尾海燕,Oceanodroma tristrami,Tristram's Storm-Petrel,海燕科 Hydrobatidae
暴風鸌,Fulmarus glacialis,Northern Fulmar,鸌科 Procellariidae
白腹穴鳥,Pterodroma hypoleuca,Bonin Petrel,鸌科 Procellariidae
穴鳥,Bulweria bulwerii,Bulwer's Petrel,鸌科 Procellariidae
黑背白腹穴鳥,Pseudobulweria rostrata,Tahiti Petrel,鸌科 Procellariidae
大水薙鳥,Calonectris leucomelas,Streaked Shearwater,鸌科 Procellariidae
肉足水薙鳥,Ardenna carneipes,Flesh-footed Shearwater,鸌科 Procellariidae
長尾水薙鳥,Ardenna pacifica,Wedge-tailed Shearwater,鸌科 Procellariidae
灰水薙鳥,Ardenna grisea,Sooty Shearwater,鸌科 Procellariidae
短尾水薙鳥,Ardenna tenuirostris,Short-tailed Shearwater,鸌科 Procellariidae
黑鸛,Ciconia nigra,Black Stork,鸛科 Ciconiidae
東方白鸛,Ciconia boyciana,Oriental Stork,鸛科 Ciconiidae
白斑軍艦鳥,Fregata ariel,Lesser Frigatebird,軍艦鳥科 Fregatidae
軍艦鳥,Fregata minor,Great Frigatebird,軍艦鳥科 Fregatidae
藍臉鰹鳥,Sula dactylatra,Masked Booby,鰹鳥科 Sulidae
白腹鰹鳥,Sula leucogaster,Brown Booby,鰹鳥科 Sulidae
紅腳鰹鳥,Sula sula,Red-footed Booby,鰹鳥科 Sulidae
海鸕鷀,Phalacrocorax pelagicus,Pelagic Cormorant,鸕鷀科 Phalacrocoracidae
鸕鷀,Phalacrocorax carbo,Great Cormorant,鸕鷀科 Phalacrocoracidae
丹氏鸕鷀,Phalacrocorax capillatus,Japanese Cormorant,鸕鷀科 Phalacrocoracidae
卷羽鵜鶘,Pelecanus crispus,Dalmatian Pelican,鵜鶘科 Pelecanidae
大麻鷺,Botaurus stellaris,Great Bittern,鷺科 Ardeidae
黃小鷺,Ixobrychus sinensis,Yellow Bittern,鷺科 Ardeidae
秋小鷺,Ixobrychus eurhythmus,Schrenck's Bittern,鷺科 Ardeidae
栗小鷺,Ixobrychus cinnamomeus,Cinnamon Bittern,鷺科 Ardeidae
黃頸黑鷺,Ixobrychus flavicollis,Black Bittern,鷺科 Ardeidae
蒼鷺,Ardea cinerea,Gray Heron,鷺科 Ardeidae
紫鷺,Ardea purpurea,Purple Heron,鷺科 Ardeidae
大白鷺,Ardea alba,Great Egret,鷺科 Ardeidae
中白鷺,Ardea intermedia,Intermediate Egret,鷺科 Ardeidae
白臉鷺,Egretta novaehollandiae,White-faced Heron,鷺科 Ardeidae
唐白鷺,Egretta eulophotes,Chinese Egret,鷺科 Ardeidae
小白鷺,Egretta garzetta,Little Egret,鷺科 Ardeidae
岩鷺,Egretta sacra,Pacific Reef-Heron,鷺科 Ardeidae
